#Locations
postwl	214.34	375.51000000000107	0.5051000000000002
r9p	370.50000000000125	86.29999999999981	4.1399999999999775
r12p	378.10000000000184	82.19999999999982	4.1399999999999775
r7p	360.50000000000125	71.7999999999999	3.139999999999977
r10p	375.6000000000013	94.29999999999981	4.1399999999999775
r5p	370.50000000000125	71.7999999999999	3.139999999999977
r16p	384.0000000000025	49.999999999999964	2.5399999999999765
r3p	350.0	40.8	1.57
r14p	381.0000000000025	61.999999999999964	3.139999999999977
r1p	350.0	50.8	1.57
AUX_10	265.04000000000224	232.81000000000242	-1.4549
AUX_32	164.1999999999989	80.30000000000004	-0.4107999999999997
AUX_11	273.9400000000029	163.01000000000252	-1.6849000000000003
AUX_33	225.2999999999989	100.30000000000004	0.6892000000000003
AUX_31	116.20000000000005	88.1	-0.2707999999999997
AUX_14	129.0400000000027	105.7100000000026	-3.6048999999999998
pcr	287.0	448.0	1.5708
AUX_12	245.9400000000015	127.71000000000316	-2.3048999999999986
AUX_34	271.19999999999845	135.2	0.2792000000000002
AUX_13	183.0400000000027	85.7100000000026	-3.2048999999999994
AUX_6	241.85999999999947	408.4300000000019	3.1356
AUX_5	271.1999999999998	394.0999999999998	1.5008
AUX_19	261.6999999999995	433.0	4.790799999999999
AUX_4	268.6999999999997	322.4999999999999	1.5608
scr	85.0	106.0	-1.5708
AUX_3	269.6999999999997	259.2999999999996	1.6008
AUX_9	260.4400000000012	287.61000000000223	-1.5349000000000002
AUX_8	262.4400000000014	360.71000000000225	-1.5349000000000002
prewl	190.3599999999995	399.4300000000019	3.6755999999999998
AUX_7	247.24000000000024	395.6100000000027	0.04510000000000022
r13p	381.0000000000025	72.09999999999994	3.139999999999977
r11p	383.10000000000184	90.29999999999981	4.1399999999999775
r8p	360.50000000000125	61.800000000000026	3.139999999999977
AUX_2	273.1999999999998	213.9999999999995	1.6608
r17p	385.0000000000025	40.999999999999964	2.5399999999999765
r6p	370.50000000000125	61.800000000000026	3.139999999999977
AUX_1	284.3000000000019	174.0000000000001	2.160799999999997
c1	310.0	154.0	1.5708
AUX_0	321.0	86.9	2.2700000000000005
r15p	375.0000000000025	47.999999999999964	2.5399999999999765
r4p	340.0	40.8	1.57
c2	302.0	154.0	1.5708
r2p	340.0	50.8	1.57
AUX_20	352.99999999999704	73.20000000000061	3.119999999999999

#Paths
